type,plant,width,nsem,psem
control,1,12.10966057,11.71801567,12.56396867
control,2,11.60835509,11.20104439,12.07832898
control,3,9.446475196,8.866840731,10.02610966
control,4,9.697127937,8.960835509,10.44908616
control,5,10.84073107,10.37075718,11.29503916
control,6,10.74673629,10.37075718,11.18537859
control,7,10.60574413,10.19843342,11.02872063
control,8,11.78067885,11.20104439,12.4073107
control,9,11.60835509,10.82506527,12.34464752
control,10,11.68668407,11.1383812,12.26631854
control,11,11.87467363,11.26370757,12.53263708
15min,1,11.5770235,11.01305483,12.09399478
15min,2,10.90339426,10.59007833,11.23237598
15min,3,12.09399478,11.46736292,12.68929504
15min,4,11.01305483,10.43342037,11.5613577
15min,5,11.48302872,10.74673629,12.18798956
15min,6,7.221932115,6.830287206,7.597911227
15min,7,7.973890339,7.441253264,8.428198433
15min,8,7.080939948,6.751958225,7.362924282
15min,9,8.772845953,7.989556136,9.587467363
15min,10,9.838120104,8.960835509,10.65274151
15min,11,11.63968668,11.01305483,12.18798956
